tinyId,permissibleValue,valueMeaningDefinition,conceptId,conceptSource,valueMeaningName,codeSystemName,valueMeaningCode,codeSystemVersion
Q1bTpGOT68,5,5,NA,NA,5,NA,NA,NA
Q1bZqyO317e,6,NA,NA,NA,6,5,5,NA
Q1C2RdAjSM,3,NA,NA,NA,3,3,3,NA
Q1C5w5snix,16,NA,NA,NA,16,16,16,NA
Q1C75qihix,2,NA,NA,NA,2,2,2,NA
Q1CBuci3og,5,NA,NA,NA,5,5,5,NA
Q1CEQEQJyg,5,5,5,5,5,5,5,NA
Q1Cfbg7905m,2,2,NA,NA,2,NA,NA,NA
Q1chGE9oS0,8,8,NA,NA,8,NA,NA,NA
Q1cIvV9iBR,12,12,NA,NA,12,NA,NA,NA
Q1CLqqj2sl,7,NA,NA,NA,7,7,7,NA
Q1clUDmgB0M,2,2,NA,NA,2,NA,NA,NA
Q1CmgZ___3_e,5,5,NA,NA,5,NA,NA,NA
Q1CMvci3ol,5,NA,NA,NA,5,5,5,NA
Q1cSnqonog,3,NA,NA,NA,3,3,3,NA
Q1cTDco2sl,3,NA,NA,NA,3,3,3,NA
Q1CTo5s3jl,4,NA,NA,NA,4,4,4,NA
Q1CuYJ_3ymx,5,NA,NA,NA,5,5,5,NA
Q1Cx795onil,3,NA,NA,NA,3,3,3,NA
Q1Cxysci3ol,5,NA,NA,NA,5,5,5,NA
Q1czVhJsg5Z,3,3,NA,NA,3,NA,NA,NA
Q1D_qz38ryw,3,NA,NA,NA,3,NA,NA,NA
Q1d_w9i2se,5,NA,NA,NA,5,5,5,NA
Q1D2JO9C5m,5,5,NA,NA,5,NA,NA,NA
Q1D9bjDx7,4,NA,NA,NA,4,NA,NA,NA
Q1DbBreolc_,5,5,NA,NA,5,NA,NA,NA
Q1dbL_mqRq7,5,5,NA,NA,5,NA,NA,NA
Q1DgL_7xHCz,4,4,NA,NA,4,NA,NA,NA
Q1dhKrAk7,4,NA,NA,NA,4,NA,NA,NA
Q1DJetkOnyme,5,NA,NA,NA,5,5,5,NA
Q1DMCxXqA57,5,5,NA,NA,5,NA,NA,NA
Q1dogKkd2yQl,5,NA,NA,NA,5,1,1,NA
Q1DRvYp6I,4,4,NA,NA,4,NA,NA,NA
Q1drxbuWZnOe,5,5,NA,NA,5,NA,NA,NA
Q1DWN_5onix,5,NA,NA,NA,5,5,5,NA
Q1e__MOp6L,6,6,NA,NA,6,NA,NA,NA
Q1e9wcpR77,5,NA,NA,NA,5,NA,NA,NA
Q1ea6Lj6aL,2,2,NA,NA,2,NA,NA,NA
Q1ebzDcshsl,5,NA,NA,NA,5,5,5,NA
Q1ebZnconsl,3,NA,NA,NA,3,3,3,NA
Q1EDq1d2kXe,5,NA,NA,NA,5,5,5,NA
Q1eE5qTRXm,5,NA,NA,NA,5,NA,NA,NA
Q1EehR_CsHG,3,NA,NA,NA,3,3,3,NA
Q1eehWi6p8,4,4,NA,NA,4,NA,NA,NA
Q1eeOOXgH0z,3,3,NA,NA,3,NA,NA,NA
Q1eetG3IrJv,2,NA,NA,NA,2,NA,NA,NA
Q1Efp1eUhXG,10,NA,NA,NA,10,10,10,NA
Q1eg_PKTTI,3,3,NA,NA,3,NA,NA,NA
Q1egOzuaT8,6,6,NA,NA,6,NA,NA,NA
Q1eidkdnyXx,5,NA,NA,NA,5,5,5,NA
Q1ejrfu6aL,5,5,NA,NA,5,NA,NA,NA
Q1EMlZuWbh_x,5,5,NA,NA,5,NA,NA,NA
Q1eNX_668,5,5,NA,NA,5,NA,NA,NA
Q1eOBDtTaL,4,4,NA,NA,4,NA,NA,NA
Q1eOeKku2y7g,5,NA,NA,NA,5,5,5,NA
Q1eWXu7erRz,5,5,NA,NA,5,NA,NA,NA
Q1ex2Lqshox,4,NA,NA,NA,4,4,4,NA
Q1Ext5onol,4,NA,NA,NA,4,4,4,NA
Q1EYRO0srM,3,NA,NA,NA,3,3,3,NA
Q1ezKNi6pI,5,5,NA,NA,5,NA,NA,NA
Q1eZn29onox,5,NA,NA,NA,5,5,5,NA
Q1EzzvbZh_l,5,5,NA,NA,5,NA,NA,NA
Q1f5BPKa6I,4,4,NA,NA,4,NA,NA,NA
Q1F5JOWW3Ol,3,3,NA,NA,3,NA,NA,NA
Q1ffpJeI37f,5,NA,NA,NA,5,5,5,NA
Q1fgl55ihsx,6,NA,NA,NA,6,6,6,NA
Q1fl4wqi3jg,5,NA,NA,NA,5,5,5,NA
Q1flgF1u2Jmx,5,NA,NA,NA,5,NA,NA,NA
Q1FmSxUlQ,5,NA,NA,NA,5,NA,NA,NA
Q1FobHcAqX,6,6,NA,NA,6,NA,NA,NA
Q1fol_yd31Qe,5,NA,NA,NA,5,5,5,NA
Q1fp3No6pI,5,5,NA,NA,5,NA,NA,NA
Q1fq29jhjl,4,NA,NA,NA,4,4,4,NA
Q1frA4U4EUG,3,3,NA,NA,3,NA,NA,NA
Q1FTgdyO31Qe,5,NA,NA,NA,5,5,5,NA
Q1fU_merCM,3,3,NA,NA,3,NA,NA,NA
Q1fU91O31mg,5,NA,NA,NA,5,5,5,NA
Q1FvK5jhoe,3,NA,NA,NA,3,3,3,NA
Q1FXP9jhix,7,NA,NA,NA,7,7,7,NA
Q1fxr95s3se,5,NA,NA,NA,5,5,5,NA
Q1g_2OmlB0M,3,3,NA,NA,3,NA,NA,NA
Q1G_nU5jhje,3,NA,NA,NA,3,3,3,NA
Q1g1r0c6pL,7,7,NA,NA,7,NA,NA,NA
Q1G3_yKapL,2,2,NA,NA,2,NA,NA,NA
Q1g5OubZhOe,5,5,NA,NA,5,NA,NA,NA
Q1G7dyd2yXg,5,NA,NA,NA,5,5,5,NA
Q1g8P96Am7,5,NA,NA,NA,5,5,5,NA
Q1G9uyO3JXx,5,NA,NA,NA,5,5,5,NA
Q1Gbnjcinoe,4,NA,NA,NA,4,4,4,NA
Q1gCYOF6p8,2,2,NA,NA,2,NA,NA,NA
Q1gF47dpaU,5,5,NA,NA,5,NA,NA,NA
Q1GFXuK6p8,5,5,NA,NA,5,NA,NA,NA
Q1gg7eQ509Q,5,5,NA,NA,5,NA,NA,NA
Q1GG7uTpL,5,5,NA,NA,5,NA,NA,NA
Q1ggCjF7kyg,5,5,5,5,5,5,5,NA
Q1ggf9oQ_yf,23,NA,NA,NA,23,23,23,NA
Q1ggosqjnse,2,NA,NA,NA,2,2,2,NA
Q1gIAMu66I,5,5,NA,NA,5,NA,NA,NA
Q1Giicjnie,2,NA,NA,NA,2,2,2,NA
Q1GKFbippI,1,1,NA,NA,1,NA,NA,NA
Q1GKhbOT6L,5,5,NA,NA,5,NA,NA,NA
Q1GluI7eHRf,3,3,NA,NA,3,NA,NA,NA
Q1gmgaQqirC,4,4,NA,NA,4,NA,NA,NA
Q1GOgFyd2J7g,5,NA,NA,NA,5,5,5,NA
Q1gSEDKa6U,16,16,NA,NA,16,NA,NA,NA
Q1GUCwKT6I,5,5,NA,NA,5,NA,NA,NA
Q1GvSGOpaL,5,5,NA,NA,5,NA,NA,NA
Q1gwFqo3oe,3,NA,NA,NA,3,3,3,NA
Q1GwmkNkkl,2,2,2,2,2,2,2,NA
Q1gwzXdTa8,5,5,NA,NA,5,NA,NA,NA
Q1gxxO1_3kXe,5,NA,NA,NA,5,5,5,NA
Q1gyvJF668,2,2,NA,NA,2,NA,NA,NA
Q1gyYVjTaL,5,5,NA,NA,5,NA,NA,NA
Q1H5xbvbb3Oe,5,5,NA,NA,5,NA,NA,NA
Q1H6Pc6AmQ,5,NA,NA,NA,5,5,5,NA
Q1h7lOcA5m,2,2,NA,NA,2,NA,NA,NA
Q1hgDDcsnoe,2,NA,NA,NA,2,2,2,NA
Q1Hgv9inoe,3,NA,NA,NA,3,3,3,NA
Q1hHqyOhymx,5,NA,NA,NA,5,5,5,NA
Q1hlKOcsnje,2,NA,NA,NA,2,2,2,NA
Q1Hlrd9ohjl,5,NA,NA,NA,5,5,5,NA
Q1Hq9csnox,2,NA,NA,NA,2,2,2,NA
Q1HSj5i3il,2,NA,NA,NA,2,2,2,NA
Q1Hv91Onk7e,5,NA,NA,NA,5,5,5,NA
Q1hz5f3LrJv,4,NA,NA,NA,4,NA,NA,NA
Q1i_HdQxHRG,4,4,NA,NA,4,NA,NA,NA
Q1i_z_T6I,5,5,NA,NA,5,NA,NA,NA
Q1I4l1wWW3ux,5,5,NA,NA,5,NA,NA,NA
Q1I91lI2Qf,6,NA,NA,NA,6,6,6,NA
Q1ICIcs3sx,4,NA,NA,NA,4,4,4,NA
Q1Ikvcjnje,4,NA,NA,NA,4,4,4,NA
Q1ileD9jnol,3,NA,NA,NA,3,3,3,NA
Q1IlsOT6L,5,5,NA,NA,5,NA,NA,NA
Q1IO_kuny7e,5,NA,NA,NA,5,5,5,NA
Q1io_yd2J7l,5,NA,NA,NA,5,1,1,NA
Q1IV7uZbhOx,5,5,NA,NA,5,NA,NA,NA
Q1Iv9snox,4,NA,NA,NA,4,4,4,NA
Q1ixuPW_hde,5,5,NA,NA,5,NA,NA,NA
Q1iZBHlslcW,3,3,NA,NA,3,NA,NA,NA
Q1j_lcOW_nOx,5,5,NA,NA,5,NA,NA,NA
Q1Jeic5ihoe,2,NA,NA,NA,2,2,2,NA
Q1jeri5ohog,2,NA,NA,NA,2,2,2,NA
Q1jf29i2oe,3,NA,NA,NA,3,3,3,NA
Q1Jg2ydqCcm,5,5,NA,NA,5,NA,NA,NA
Q1JlDku2y7l,5,NA,NA,NA,5,5,5,NA
Q1jMvqj3jx,7,NA,NA,NA,7,7,7,NA
Q1JsuJdhkme,3,NA,NA,NA,3,NA,NA,NA
Q1JT_d_W2ue,5,5,NA,NA,5,NA,NA,NA
Q1JUgDPbZ2Oe,5,5,NA,NA,5,NA,NA,NA
Q1K0656TI,5,5,NA,NA,5,NA,NA,NA
Q1k1lOyuhJQx,5,NA,NA,NA,5,5,5,NA
Q1kbCs9s3ol,2,NA,NA,NA,2,2,2,NA
Q1kbvK9o2se,3,NA,NA,NA,3,3,3,NA
Q1KggxQ9R9m,5,4,NA,NA,5,NA,NA,NA
Q1kJety_nkQx,5,NA,NA,NA,5,5,5,NA
Q1KlB8QxrCf,2,2,NA,NA,2,NA,NA,NA
Q1KlK0Q9R9m,2,2,NA,NA,2,NA,NA,NA
Q1kOusfj4,2,NA,NA,NA,2,NA,NA,NA
Q1KQxF6TU,2,2,NA,NA,2,NA,NA,NA
Q1KSUN9sBR,3,3,NA,NA,3,NA,NA,NA
Q1KTsqshol,4,NA,NA,NA,4,4,4,NA
Q1kWm55i3ig,3,NA,NA,NA,3,3,3,NA
Q1kWqyd21me,6,NA,NA,NA,6,5,5,NA
Q1KxEcci3sl,3,NA,NA,NA,3,3,3,NA
Q1l_td_Whue,5,5,NA,NA,5,NA,NA,NA
Q1l_yD5s3sl,2,NA,NA,NA,2,2,2,NA
Q1l3loOTaU,3,3,NA,NA,3,NA,NA,NA
Q1l489snje,13,NA,NA,NA,13,13,13,NA
Q1l4ZDKT68,3,3,NA,NA,3,NA,NA,NA
Q1l6ZOT6I,5,5,NA,NA,5,NA,NA,NA
Q1Lau1dnkml,5,NA,NA,NA,5,5,5,NA
Q1le88QxrCG,2,2,NA,NA,2,NA,NA,NA
Q1LeLPco2oe,4,NA,NA,NA,4,4,4,NA
Q1lgi5cjnsl,2,NA,NA,NA,2,2,2,NA
Q1LHqyOhyme,5,NA,NA,NA,5,5,5,NA
Q1lhu9TA7Q,5,NA,NA,NA,5,NA,NA,NA
Q1ljbdWb3_g,5,5,NA,NA,5,NA,NA,NA
Q1lJeuyu2yQl,5,NA,NA,NA,5,5,5,NA
Q1lJgMO6aU,5,5,NA,NA,5,NA,NA,NA
Q1Llaucshjg,4,NA,NA,NA,4,4,4,NA
Q1lLu4sTpL,7,7,NA,NA,7,NA,NA,NA
Q1lNaLcR9m,7,7,NA,NA,7,NA,NA,NA
Q1lnVop6L,5,5,NA,NA,5,NA,NA,NA
Q1LOLNcsS0,3,3,NA,NA,3,NA,NA,NA
Q1lP3fj6aI,2,2,NA,NA,2,NA,NA,NA
Q1LpeFJ_3J7g,5,NA,NA,NA,5,5,5,NA
Q1lRc0OaaI,4,4,NA,NA,4,NA,NA,NA
Q1lRxdkuhJ7l,5,NA,NA,NA,5,5,5,NA
Q1LTacaTI,5,5,NA,NA,5,NA,NA,NA
Q1lUCKF66L,4,4,NA,NA,4,NA,NA,NA
Q1lVwCOa6U,5,5,NA,NA,5,NA,NA,NA
Q1lWsnco2je,5,NA,NA,NA,5,5,5,NA
Q1Lxs5j2ig,3,NA,NA,NA,3,3,3,NA
Q1lYGnUrkv,3,NA,NA,NA,3,NA,NA,NA
Q1lZk39j2sx,5,NA,NA,NA,5,5,5,NA
Q1m_5c9onse,2,NA,NA,NA,2,2,2,NA
Q1M_E25inil,3,NA,NA,NA,3,3,3,NA
Q1M_eY7lrCG,10,10,NA,NA,10,NA,NA,NA
Q1m_WPmxBAM,3,3,NA,NA,3,NA,NA,NA
Q1M0XzuppL,5,5,NA,NA,5,NA,NA,NA
Q1m1OqaAQ7,5,NA,NA,NA,5,NA,NA,NA
Q1M2LFTTI,3,3,NA,NA,3,NA,NA,NA
Q1m6j5s3sl,4,NA,NA,NA,4,4,4,NA
Q1MeE3qjhse,4,NA,NA,NA,4,4,4,NA
Q1MHdJdh1me,5,NA,NA,NA,5,5,5,NA
Q1mkYcT077,5,NA,NA,NA,5,NA,NA,NA
Q1mL91_nkXg,5,NA,NA,NA,5,5,5,NA
Q1MlRYcj3sx,4,NA,NA,NA,4,4,4,NA
Q1MlVtqs2ix,5,NA,NA,NA,5,5,5,NA
Q1MmLQeS0G,2,2,NA,NA,2,NA,NA,NA
Q1Mo9QjaTU,2,2,NA,NA,2,NA,NA,NA
Q1MQlLOTTL,4,4,NA,NA,4,NA,NA,NA
Q1MQtwY6pU,3,3,NA,NA,3,NA,NA,NA
Q1mrFcaRXQ,5,NA,NA,NA,5,NA,NA,NA
Q1MU7JKppU,2,2,NA,NA,2,NA,NA,NA
Q1Mx2I5o2ol,3,NA,NA,NA,3,3,3,NA
Q1MxS_5o2il,5,NA,NA,NA,5,5,5,NA
Q1Mxwkd3Jmx,5,NA,NA,NA,5,5,5,NA
Q1MxyFXeSRf,2,2,NA,NA,2,NA,NA,NA
Q1n_Dcihog,15,NA,NA,NA,15,15,15,NA
Q1N3g_k_2kQx,5,NA,NA,NA,5,2,2,NA
Q1N5o9shsl,5,NA,NA,NA,5,5,5,NA
Q1nalK1unk7g,5,NA,NA,NA,5,5,5,NA
Q1NCt5aR7X,6,NA,NA,NA,6,NA,NA,NA
Q1nEpIqCcQ,7,7,NA,NA,7,NA,NA,NA
Q1Ng50uCsSz,3,NA,NA,NA,3,3,3,NA
Q1njcqj3sl,2,NA,NA,NA,2,2,2,NA
Q1nncP5R5Q,3,3,NA,NA,3,NA,NA,NA
Q1nQq5inox,2,NA,NA,NA,2,2,2,NA
q1NR6tOYQ2N,2,2,NA,NA,2,NA,NA,NA
Q1NWQEqiSA,18,18,NA,NA,18,NA,NA,NA
Q1NXhJe8hmz,10,NA,NA,NA,10,10,10,NA
Q1oacX9C5m,12,12,NA,NA,12,NA,NA,NA
Q1Obg_dZZhdl,5,5,NA,NA,5,NA,NA,NA
Q1OD_1O3kXg,5,NA,NA,NA,5,5,5,NA
Q1ogFk_2k7l,5,NA,NA,NA,5,5,5,NA
Q1OkZ_kOh1Qe,5,NA,NA,NA,5,5,5,NA
Q1OLUNcoSA,3,3,NA,NA,3,NA,NA,NA
Q1Omeb45sHC,4,4,NA,NA,4,NA,NA,NA
Q1oMF1unyXl,5,NA,NA,NA,5,NA,NA,NA
Q1oMGua68,5,5,NA,NA,5,NA,NA,NA
Q1OnVD__3Ol,5,5,NA,NA,5,NA,NA,NA
Q1OqK96CQQ,5,NA,NA,NA,5,5,5,NA
Q1orjcjhig,2,NA,NA,NA,2,2,2,NA
Q1OxGxuqR97,5,5,NA,NA,5,NA,NA,NA
Q1P2FJ_nJXg,5,NA,NA,NA,5,5,5,NA
Q1PDXeH0M,2,2,NA,NA,2,NA,NA,NA
Q1PFEiaT8,5,5,NA,NA,5,NA,NA,NA
Q1PfQgX9057,92,92,NA,NA,92,NA,NA,NA
Q1pgcMhUHJP,4,NA,NA,NA,4,NA,NA,NA
Q1Pguwqjhsg,5,NA,NA,NA,5,5,5,NA
Q1Pgz5o7_kM,16,NA,NA,NA,16,16,16,NA
Q1pKtku21ml,4,NA,NA,NA,4,NA,NA,NA
Q1pllWOWZ2_g,5,5,NA,NA,5,NA,NA,NA
Q1pM8UgBAG,2,2,NA,NA,2,NA,NA,NA
Q1POe845oH0,19,19,NA,NA,19,NA,NA,NA
Q1PpZdbZ3de,5,5,NA,NA,5,NA,NA,NA
Q1PS95s2ix,3,NA,NA,NA,3,3,3,NA
Q1pxYici2sx,2,NA,NA,NA,2,2,2,NA
Q1q4gKJdnyQg,5,NA,NA,NA,5,5,5,NA
Q1q9utOeQ,6,NA,NA,NA,6,NA,NA,NA
Q1QAdy_2k7e,5,NA,NA,NA,5,5,5,NA
Q1qbWDmxrAz,3,3,NA,NA,3,NA,NA,NA
Q1qcJ_nyXe,6,NA,NA,NA,6,5,5,NA
Q1QG51d3J7e,5,NA,NA,NA,5,5,5,NA
Q1qgmd7xHCf,2,2,NA,NA,2,NA,NA,NA
Q1qhydcRqQ,4,4,NA,NA,4,NA,NA,NA
Q1qJjco2sx,5,NA,NA,NA,5,5,5,NA
Q1Qko9o3ol,4,NA,NA,NA,4,4,4,NA
Q1QlEj9j2ig,8,NA,NA,NA,8,8,8,NA
Q1qlND5onix,3,NA,NA,NA,3,3,3,NA
Q1QlSLXlB0M,2,2,NA,NA,2,NA,NA,NA
Q1QNeukuhyXg,5,NA,NA,NA,5,5,5,NA
Q1qrgW_WZhOg,5,5,NA,NA,5,NA,NA,NA
Q1QSv56CXm,5,NA,NA,NA,5,NA,NA,NA
Q1QVlZN9iBR,16,16,NA,NA,16,NA,NA,NA
Q1QxNT8c0qX,5,5,NA,NA,5,NA,NA,NA
Q1R8eZw_Z2Og,5,5,NA,NA,5,NA,NA,NA
Q1Rb7xXcCc7,10,10,NA,NA,10,NA,NA,NA
Q1rb8_XqA5m,47,47,NA,NA,47,NA,NA,NA
Q1RDOX9Rqm,3,3,NA,NA,3,NA,NA,NA
Q1RFPt6T8,2,2,NA,NA,2,NA,NA,NA
Q1RLOQgH0z,4,4,NA,NA,4,NA,NA,NA
Q1RrLVqoHC,3,3,NA,NA,3,NA,NA,NA
Q1RTORTXL,3,NA,NA,NA,3,3,3,3
Q1rWP5cjnjl,4,NA,NA,NA,4,4,4,NA
Q1RxC_qonoe,14,NA,NA,NA,14,14,14,NA
Q1rxr35s2ox,3,NA,NA,NA,3,3,3,NA
Q1rxRK5jhsx,4,NA,NA,NA,4,4,4,NA
Q1rzcc60QX,6,NA,NA,NA,6,NA,NA,NA
Q1s0F_bWhux,5,5,NA,NA,5,NA,NA,NA
Q1sDtJd2JXx,5,NA,NA,NA,5,5,5,NA
Q1sdu9o2ol,3,NA,NA,NA,3,3,3,NA
q1Sfd2VAcAY,2,2,NA,NA,2,NA,NA,NA
Q1sG_lmqRcm,4,4,NA,NA,4,NA,NA,NA
Q1sHtJuh1mg,5,NA,NA,NA,5,5,5,NA
Q1shxtJuhJmx,5,NA,NA,NA,5,5,5,NA
Q1sImerRM,6,6,NA,NA,6,NA,NA,NA
Q1suY9o3ox,2,NA,NA,NA,2,2,2,NA
Q1SxF3qo2je,4,NA,NA,NA,4,4,4,NA
Q1SZK1O3kXg,5,NA,NA,NA,5,5,5,NA
Q1SZn5j2ie,3,NA,NA,NA,3,3,3,NA
Q1T_ku21Xl,6,NA,NA,NA,6,5,5,NA
Q1t0_5i3ol,2,NA,NA,NA,2,2,2,NA
Q1T7D5s2jl,2,NA,NA,NA,2,2,2,NA
Q1te35onox,5,NA,NA,NA,5,5,5,NA
Q1Te53co2jx,2,NA,NA,NA,2,2,2,NA
Q1tEFJOnkmg,5,NA,NA,NA,5,5,5,NA
Q1TgJ9qo3sg,4,NA,NA,NA,4,4,4,NA
Q1tig_1OnJml,5,NA,NA,NA,5,5,5,NA
Q1Tlj8qj2og,7,NA,NA,NA,7,7,7,NA
Q1tMD5jhjl,7,NA,NA,NA,7,7,7,NA
Q1Tpl_yOhyXg,5,NA,NA,NA,5,5,5,NA
Q1Tx7ncs2sl,3,NA,NA,NA,3,3,3,NA
Q1TYb__b2_e,5,5,NA,NA,5,NA,NA,NA
Q1tZ8zIlX,5,NA,NA,NA,5,NA,NA,NA
Q1tzAz2UBJD,8,NA,NA,NA,8,NA,NA,NA
Q1u_gFyO2JXg,5,NA,NA,NA,5,5,5,NA
Q1U_QgrAz,2,2,NA,NA,2,NA,NA,NA
Q1u7KJOny7e,5,NA,NA,NA,5,5,5,NA
Q1uEtkOnJml,5,NA,NA,NA,5,5,5,NA
Q1UHF1Onk7e,5,NA,NA,NA,5,5,5,NA
Q1UHgP4qsBC,2,2,NA,NA,2,NA,NA,NA
Q1Uiq5inie,2,NA,NA,NA,2,2,2,NA
Q1uqez4qjHR,3,3,NA,NA,3,NA,NA,NA
Q1uqOk_21Xx,6,NA,NA,NA,6,5,5,NA
Q1ust1O21Qx,5,NA,NA,NA,5,NA,NA,NA
Q1Uv51dhymx,5,NA,NA,NA,5,5,5,NA
Q1uVgKkunkQx,5,NA,NA,NA,5,5,5,NA
Q1uWtsGiV,5,NA,NA,NA,5,NA,NA,NA
Q1uX_YpaI,5,5,NA,NA,5,NA,NA,NA
Q1uxDrw5A5m,3,3,NA,NA,3,NA,NA,NA
Q1uxxdQlBAG,2,2,NA,NA,2,NA,NA,NA
Q1V0bdpaL,5,5,NA,NA,5,NA,NA,NA
Q1V1O__nue,5,5,NA,NA,5,NA,NA,NA
Q1v2YszjV,3,NA,NA,NA,3,NA,NA,NA
Q1V4F1unkme,5,NA,NA,NA,5,5,5,NA
Q1V6bu505X,2,2,NA,NA,2,NA,NA,NA
Q1v7tkuny7e,5,NA,NA,NA,5,5,5,NA
Q1Vefv9i3jl,5,NA,NA,NA,5,5,5,NA
Q1VeNdcjnoe,9,NA,NA,NA,9,9,9,NA
Q1VgFqqjhix,7,NA,NA,NA,7,7,7,NA
Q1VGuoGoE,4,NA,NA,NA,4,NA,NA,NA
Q1Vnn5s2ie,6,NA,NA,NA,6,6,6,NA
Q1vrGOaT8,5,5,NA,NA,5,NA,NA,NA
Q1VxbDXxr0M,2,2,NA,NA,2,NA,NA,NA
Q1w_Okuh1Xe,5,NA,NA,NA,5,5,5,NA
Q1w6FyOnyQx,5,NA,NA,NA,5,5,5,NA
Q1W9JXuTTL,5,5,NA,NA,5,NA,NA,NA
Q1W9ZuZ_hue,5,5,NA,NA,5,NA,NA,NA
Q1Waguyunkmg,5,NA,NA,NA,5,5,5,NA
Q1WcP9onse,3,NA,NA,NA,3,3,3,NA
Q1wecR_Cjrf,4,NA,NA,NA,4,4,4,NA
Q1wezcqs3ol,3,NA,NA,NA,3,3,3,NA
Q1wgTI9s3jg,3,NA,NA,NA,3,3,3,NA
Q1WKc5onje,4,NA,NA,NA,4,4,4,NA
Q1wL_kunyme,5,NA,NA,NA,5,5,5,NA
Q1wlDFcs3jg,3,NA,NA,NA,3,3,3,NA
Q1wlsco2jl,8,NA,NA,NA,8,8,8,NA
Q1WmeON5irC,3,3,NA,NA,3,NA,NA,NA
Q1wmvci3se,3,NA,NA,NA,3,3,3,NA
Q1WPRa56TU,5,5,NA,NA,5,NA,NA,NA
Q1WQUOYpT8,2,2,NA,NA,2,NA,NA,NA
Q1WQXgtTpI,2,2,NA,NA,2,NA,NA,NA
Q1Wt2bO66L,5,5,NA,NA,5,NA,NA,NA
Q1WV54ip6L,7,7,NA,NA,7,NA,NA,NA
Q1wvbmLl7,5,NA,NA,NA,5,NA,NA,NA
Q1wW_qs3sg,2,NA,NA,NA,2,2,2,NA
Q1WwFqinse,3,NA,NA,NA,3,3,3,NA
Q1X_t96RQX,5,NA,NA,NA,5,NA,NA,NA
Q1x1hfLeQ,5,NA,NA,NA,5,NA,NA,NA
Q1x4l8d66L,4,4,NA,NA,4,NA,NA,NA
Q1xb7c5j3ox,3,NA,NA,NA,3,3,3,NA
Q1xbUCQcCcQ,5,5,NA,NA,5,NA,NA,NA
Q1Xd9jnol,4,NA,NA,NA,4,4,4,NA
Q1xduNspaU,7,7,NA,NA,7,NA,NA,NA
Q1Xeckd2kQx,6,NA,NA,NA,6,5,5,NA
Q1xGt9pRQX,5,NA,NA,NA,5,NA,NA,NA
Q1xgWfOppL,5,5,NA,NA,5,NA,NA,NA
Q1XJWKyu217l,5,NA,NA,NA,5,1,1,NA
Q1Xocinol,1,NA,NA,NA,1,1,1,NA
Q1xPF4j6pU,5,5,NA,NA,5,NA,NA,NA
Q1Xq_J_hJXe,5,NA,NA,NA,5,5,5,NA
Q1XS_56AQm,5,NA,NA,NA,5,NA,NA,NA
Q1xTGOTTI,5,5,NA,NA,5,NA,NA,NA
Q1Xwqihil,4,NA,NA,NA,4,4,4,NA
Q1xWZPXeBCf,4,4,NA,NA,4,NA,NA,NA
Q1XZgX5057,2,2,NA,NA,2,NA,NA,NA
Q1Y1QOpaL,5,5,NA,NA,5,NA,NA,NA
Q1Y6YqTC7m,5,NA,NA,NA,5,NA,NA,NA
Q1y7gBwbb3de,5,5,NA,NA,5,NA,NA,NA
Q1yAK1uhyXx,5,NA,NA,NA,5,5,5,NA
Q1YB5kd2JQl,5,NA,NA,NA,5,5,5,NA
Q1ybsP9i3sg,7,NA,NA,NA,7,7,7,NA
Q1YcefV5sSC,3,3,NA,NA,3,NA,NA,NA
Q1YeeZuZbh_e,5,5,NA,NA,5,NA,NA,NA
Q1YeZ_y_nyQx,5,NA,NA,NA,5,5,5,NA
Q1ygWh5shil,3,NA,NA,NA,3,3,3,NA
Q1YjDtpaI,2,2,NA,NA,2,NA,NA,NA
Q1ylYJOh1me,5,NA,NA,NA,5,5,5,NA
Q1Yndci3oe,2,NA,NA,NA,2,2,2,NA
Q1yNg_EqjS0,2,2,NA,NA,2,NA,NA,NA
Q1YrPFa6U,4,4,NA,NA,4,NA,NA,NA
Q1yTe_kOhk7g,5,NA,NA,NA,5,5,5,NA
Q1YtqpA77,5,NA,NA,NA,5,NA,NA,NA
Q1yWiFJil9Z,4,4,NA,NA,4,NA,NA,NA
Q1yWSK9s2oe,9,NA,NA,NA,9,9,9,NA
Q1yZDP5jhox,2,NA,NA,NA,2,2,2,NA
Q1yzlWV9jSA,4,4,NA,NA,4,NA,NA,NA
Q1Z_lTX5jrR,4,4,NA,NA,4,NA,NA,NA
Q1z_LyKpT8,4,4,NA,NA,4,NA,NA,NA
Q1Z6eG_TpI,5,5,NA,NA,5,NA,NA,NA
Q1z6NiapU,5,5,NA,NA,5,NA,NA,NA
Q1ZdZ_9AcQ,4,4,NA,NA,4,NA,NA,NA
Q1Ze587erAG,7,7,NA,NA,7,NA,NA,NA
Q1ZeuwKTaI,2,2,NA,NA,2,NA,NA,NA
Q1ZeynE5Rq7,9,9,NA,NA,9,NA,NA,NA
Q1Zg4c9j2se,4,NA,NA,NA,4,4,4,NA
Q1ZI8mdpp8,5,5,NA,NA,5,NA,NA,NA
Q1ZiYdtTpU,2,2,NA,NA,2,NA,NA,NA
Q1zJ_bW3ul,5,5,NA,NA,5,NA,NA,NA
Q1ZjlYkO3y7x,5,NA,NA,NA,5,1,1,NA
Q1zlcgOqRcQ,17,17,NA,NA,17,NA,NA,NA
Q1ZoIDYa6L,3,3,NA,NA,3,NA,NA,NA
Q1ZOPKKTTL,2,2,NA,NA,2,NA,NA,NA
Q1ZQJcta6I,2,2,NA,NA,2,NA,NA,NA
